Type,Description/BusinessModel,TraffickerProfile,Recruitment,VictimProfile,MethodsOfControl,Note,NumberCasesTotal,NumberHumanTraffickingCases,NumberLaborExploitationCases,Male,MalePercent,Female,FemalePercent,Gender Minority,Gender Minority Percent,Adult,AdultPercent,Minor,MinorPercent,U.S. Citizen,U.S. Citizen Percent,Foreign National,Foreign National Percent
Agriculture & Animal Husbandry,"Traffickers exploit workers in the agriculture and animal husbandry industry, from corn fields to orange orchards to dairy farms. Some crops such as tobacco require much more intensive labor to harvest, making them more susceptible to forced labor or exploitation. Tobacco is the crop cited most often on Polaris-operated hotlines, accounting for 10 percent of all agricultural labor trafficking cases. Others frequently mentioned are cattle/dairy, oranges, tomatoes, and strawberries. Often an agricultural contract will promise an hourly rate but then pay on a piece-rate basis, which severely limits earning potential and further entraps the victims. Abuse and exploitation of agricultural workers can happen at multiple levels due to the complex labor supply chain of recruiters, managers, contractors, subcontractors, growers, and buyers.","Workers can find it difficult to determine exactly who is responsible for the origin of the exploitation, due to this complex supply chain. In some cases, there may be a single or main trafficker who has one of these roles, while in other cases exploitation may involve multiple actors.","Recruitment usually features a more formal approach than in other industries, with recruiters charging victims recruitment and travel fees that create insurmountable debt, even though these costs are the responsibility of the employer under U.S. visa regulations6 for H-2A holders. Less is known about recruitment of undocumented workers or holders of other visa types, though anecdotal hotline cases suggest that recruiters and recruitment fees may be present in some cases.","According to cases reported to Polaris-operated hotlines, survivors of this type of labor trafficking are disproportionately Latino male migrant workers, mostly from Mexico and Central America, on seasonal H-2A visas. South African men on H-2A visas rank a distant second. Latinas and unaccompanied foreign minors are also victimized. However, this data appears to differ from the findings of farmworker advocacy groups, which have reported serving mostly workers on other visa types and undocumented victims.","If a victim leaves an abusive work situation, they may lose their status, and some traffickers exploit this lack of visa portability to instill fears about deportation or immigration status. Traffickers in agriculture also isolate victims in rural parts of the country with little to no means of accessing community support. Despite the H-2A program requirement that employers supply workers with suitable housing, traffickers have also been known to subject victims to squalid living conditions, often denying them even basic necessities such as beds and indoor toilets. Victims are also frequently denied the protective gear to do their jobs safely. This is most evident in tobacco fields, where despite the risk of contracting green tobacco sickness (GTS), tobacco workers on Polaris-operated hotlines frequently reported that their employers did not provide them with equipment that is necessary when directly handling tobacco leaves and pesticides. Oftentimes medical care is deliberately delayed or not offered for even the most severe workplace injuries or illnesses. By far the most common method of control in agriculture, as in many other types, is economic abuse, including wage theft, improper deductions, and payment at piece rates rather than hourly rates.","Traffickers have been known to subject victims to squalid living conditions, often denying them even basic necessities such as beds and indoor toilets.",1953,424,1529,365,86%,72,17%,0,0%,376,89%,35,8%,16,4%,387,91%
Personal Sexual Servitude,"With cases of personal sexual servitude, the lines between trafficker, recruiter, and buyer are blurred and largely depend on how the victim views each perpetrator. Personal sexual servitude takes various forms, and the payment is not always cash. In addition, the line between ongoing sexual abuse and personal sexual servitude is complex, and different survivors may define their experiences differently. Personal sexual servitude can occur when a woman or girl is permanently sold, often by her family to settle a drug debt, to an individual buyer for the explicit purpose of engaging in periodic sex acts over a long period of time. It can also occur within a commercial non-consenting marriage situation, primarily involving adult foreign national women and their families or U.S. spouses. In some of these forced marriages, the survivors can possess K-1 (fiancé) visas. Some victims are forced to do domestic work. Runaway homeless youth and LGBTQ minors without a third-party facilitator may also be victims of personal sexual servitude when they are coerced to engage in sex on an ongoing basis in order to receive basic needs such as shelter, food, and medications.","Trafficker profiles vary widely and may include members of organized crime syndicates, smugglers, intimate partners, family members, and landlords.","As noted, this form is heterogeneous, and recruitment varies. In some cases, victims may be “sold” by a family member to a trafficker. In other cases, recruitment involves the exploiter posing as a benefactor for the victim or misrepresenting the living arrangement or relationship. Additional cases include exploitation by intimate partners.","Victim profiles vary significantly. In most cases reported to Polaris-operated hotlines, victims are U.S. citizens. Runaway homeless youth and LGBTQ minors are particularly vulnerable. Adults facing economic hardship and unstable housing are also at risk. Foreign national victims are predominantly women and girls from Mexico and Central America, though victims from Southeast Asia have also been reported.","Exploiters use ongoing sexual assaults, physical abuse, confinement and isolation, threats, substance abuse, and/or withholding food, shelter, or drugs as forms of abuse or punishment.","In some cases, victims may be “sold” by a family member to a trafficker. In other cases, recruitment involves the exploiter posing as a benefactor for the victim or misrepresenting the living arrangement or relationship.",405,Null,Null,62,15%,351,87%,4,<1%,299,74%,123,30%,158,39%,147,36%
Heath & Beauty Services,"Labor trafficking and exploitation has been known to occur in businesses such as nail salons, hair salons, and health spas. Though workers interact regularly with customers, providing services such as manicures and facials, due to language barriers and intensive monitoring, it can be difficult for workers to reach out for help.","Due to limited data, little is known, but traffickers predominantly have an employer relationship with victims, and many are from Vietnam or China. In a smaller subset of cases, the trafficker was a victim’s intimate partner or spouse.","Little is known due to limited data, though preliminary information from hotline cases suggests that recruitment can involve high levels of fraud and deceit such as misrepresenting wages, working conditions, and immigration and educational benefits. This recruitment fraud is also a form of control.","Hotline data indicates that most survivors are from Vietnam or China, with a smaller portion possibly being naturalized U.S. citizens. It’s worth noting, however, that many of these hotline cases are reported by community members who may not have direct knowledge of victim or trafficker demographics. For example, external research has shown a substantial subset of South Korean workers within the industry, and they are not prominently reflected in hotline data. Polaris data indicates that most victims are adult women, while men are victims in nearly 25 percent of cases. Minor victims have been referenced in fewer than five percent of cases.","Victims are often not aware of the possible “intern” periods, when they work extensive hours for no wage and are lucky if they get to keep tips in cash. Exposure to harsh chemicals without proper masks and gloves is another concern, as is frequent movement between salons to further hinder victims from establishing support or accessing help. Victims never remain in the same city for a stable period of time, and they are heavily monitored and tend to live isolated within the business or rely solely on traffickers for transportation, making it almost impossible to escape control. Additionally, many victims remain in their abusive situation hoping for promised immigration and educational benefits that never materialize.","They are heavily monitored and tend to live isolated within the business or rely solely on traffickers for transportation, making it almost impossible to escape control.",411,295,116,70,24%,268,91%,0,0%,244,83%,36,12%,9,3%,232,79%
Construction,"Victims of labor trafficking may be forced to work in the construction industry, usually within small contracting businesses completing tasks such as roofing, carpentry, welding, electrical work, and masonry on both large commercial construction sites as well as in private homes. Employers may misclassify workers as independent contractors, thus limiting their access to worker protections and benefits.","Because of the complicated nature of the labor supply chain and the roles of direct employers, recruiters, contractors, and smugglers, in many cases victims are unable to identify who is responsible for their exploitation. Some traffickers deliberately obfuscate the labor supply chain to avoid detection.","Workers can enter their exploitative situations through formal job offers and misrepresented visa contracts. In some cases, workers may be charged illegal and exorbitant recruitment fees, which may be a method of control to keep workers in abusive situations. Recruitment may also begin through an abusive migration journey or through word-of-mouth referrals.","The majority of labor trafficking survivors in construction are men from Mexico and the Northern Triangle (El Salvador, Honduras, and Guatemala), most of whom have H-2B visas or are undocumented. U.S. citizen survivors have also been forced to perform construction jobs under the control of fraudulent religious organizations, unscrupulous residential and drug recovery programs, and individuals posing as landlords exploiting a victim’s homelessness.","Victim wages are drastically deducted, and many experience withholding of all payment as a means of control by their traffickers. Hotline data also shows that victims are kept in their trafficking situation through threats of deportation and threats to blacklist the worker from future U.S. jobs if he leaves or reports his situation. Survivors have also reported experiencing verbal abuse, harassment, and denial of necessities such as water and safety equipment.","Employers may misclassify workers as independent contractors, thus limiting their access to worker protections and benefits.",549,144,405,124,86%,20,14%,0,0%,123,85%,25,17%,21,15%,120,83%
Hotels & Hospitality,"Victims of labor trafficking have been found in hospitality businesses such as hotels, motels, resorts, or casinos working as front desk attendants, bell staff, and, most frequently, in housekeeping.","Traffickers may be in hotel management or with a labor recruiter/labor broker that subcontracts with the hotel to provide labor. If the trafficker is a contractor, the hotel may not be aware of the abuse.","Most commonly, workers were recruited with job offers that misrepresented the working conditions, wages, and the ability to safely leave the job. In other cases, workers were recruited via other fraudulent promises.","Most are women and men from Jamaica, the Philippines, and India, and typically they are told that they will make lucrative wages to support family back home. Most victims enter the job with an H-2B visa, which restricts visa portability, tying victims to their abusive employer. J-1 visas are also used, though less frequently. U.S. citizen victims have also been reported to the hotline. Adults made up the vast majority of victims reported to Polaris-operated hotlines.","Debt bondage and other forms of economic abuse, such as withholding or confiscating payment, were the most common types of control reported in hotline cases. Other problems included confinement to the hotel property and constant monitoring, altered or fake contracts, physical abuse, and sexual harassment. Due to the lack of visa portability, threats of deportation and police involvement often keep workers from seeking help.","Most are women and men from Jamaica, the Philippines, and India, and typically they are told that they will make lucrative wages to support family back home.",634,124,510,57,46%,85,69%,<3,<1%,109,88%,6,4%,18,15%,101,81%
Landscaping,"Victims of labor trafficking in landscaping are responsible for maintaining public or private grounds, gardens, and nurseries. Landscaping is the most commonly referenced type of labor trafficking and exploitation involving H-2B visa holders in cases reported to Polaris-operated hotlines. H-2B visa holders are not eligible for federally funded legal services, making it extremely difficult to secure services for victims in landscaping.","Supervisors and owners of landscaping companies and subcontractors are often the exploiters, though due to limited hotline data, little is known about trafficker demographics.","Most victims were recruited through job offers that turned out to be fraudulent or through other false promises or misrepresented work contracts. Some recruiters may also be responsible for the abuse and trafficking, though in cases reported to Polaris-operated hotlines, this was significantly less common than fraud by employers.","Sixty-three percent of hotline cases involved men from Mexico. Some of the workers were from Guatemala or were U.S. citizens. Cases involving women and children are rare, according to Polaris-operated hotlines.","Exploitation in landscaping sheds light on what is most problematic about the H-2B system, which allows employers and recruiters to exploit victims with little regard for standard worker protection laws. Workers may be forced to pay rent to their employers at rates much higher than market, despite sometimes not getting paid for their work. Threats to blacklist victims to prevent them from attaining employment in the U.S. in the future are not uncommon due to the lack of visa portability. Additionally, in many cases reported to the hotlines, victims’ wages were confiscated or withheld to keep them from leaving. Victims also experienced various threats to themselves and/or their families if they sought help.","Workers may be forced to pay rent to their employers at rates much higher than market, despite sometimes not getting paid for their work.",776,112,664,103,92%,12,11%,0,0%,101,90%,12,11%,5,4%,103,92%
Illicit Activities,"Criminal syndicates in illegal industries can exploit people for profit with the same levels of force, fraud, and coercion as in any legitimate labor industry. Polaris has seen this type of trafficking most frequently with street-level drug distribution businesses and cross-border drug smuggling, along with general domestic gang activity. Based on hotline data, traffickers have also exploited victims in the hazardous business of illicit drug production and in the isolated marijuana cultivation industry in Northern California and the Pacific Northwest, though limited data is available. Labor trafficking within illicit activities can occur in tandem with sex trafficking business models, as evidenced by the additional 76 cases reported to Polaris-operated hotlines that involved both sex trafficking and labor trafficking for illicit activity. The accompanying sex trafficking usually occurs when a drug distributer not only forces an intimate partner to sell drugs but to trade sex in exchange for a supply. These activities often intersect with a sub-type of residential sex trafficking that occurs in private residences used informally as commercial drug distribution homes.","According to hotline data, traffickers in this type include victims’ intimate partners, fellow members of domestic street gangs, independent drug dealers and producers, and highly coordinated Latino cartels.",Drug distributors often recruit their intimate partners to sell drugs. Domestic gangs tend to target vulnerable boys and young men who are looking for protection and a surrogate “family unit” and convince them to act as lookouts and commit burglary and sometimes more violent crimes for profit. Latino cartels and other criminal entities are known to abduct people or fraudulently promise their victims protection in their migration to the United States only to force them to carry drugs across the border.,"Adult and minor female intimate partners of drug dealers, both U.S. citizen and foreign national, are routinely forced to sell drugs. In addition, domestic gangs target young U.S. citizen boys. Finally, men and vulnerable, unaccompanied boys from Mexico and Central America are chronically trafficked in cartel-controlled drug smuggling schemes.","Traffickers use extreme threats of violence against the victim and family members, intimidation in the form of gang/cartel connections, manipulation, and intense monitoring to coerce and control victims. Physical violence, often involving weapons, is also very likely in drug distribution and smuggling.",Latino cartels and other criminal entities are known to abduct people or fraudulently promise their victims protection in their migration to the United States only to force them to carry drugs across the border.,187,111,76,68,61%,47,42%,<3,<1%,82,74%,30,27%,24,22%,62,56%
Arts & Entertainment,"Cases of labor trafficking have been reported to Polaris-operated hotlines in a variety of sectors of the arts and entertainment industry, including modeling, athletics and, less commonly, in performing arts such as acting, choirs, and dance troupes. The hotlines also have received reports of labor trafficking in exotic dancing. While the lines between sex and labor trafficking in strip clubs is often complex, if the adult victim is forced into exotic dancing with no accompanying sex act, this would be classified as labor trafficking.","Traffickers include recruiters and executives in model management companies ranging from small independent agencies to large corporate entities, as well as individual “coaches” in athletics. Strip club and exotic dancing club owners are often culpable actors in trafficking, though a significant number of cases reported to the hotlines involve a victim being trafficked in a strip club by an intimate partner not affiliated with the club.","In the modeling industry, foreign and U.S. citizen women can be fraudulently recruited through social media and online classifieds with exaggerated job offers and fake immigration benefits. Young boys in athletics are recruited through an individual “coach” who convinces their families to pay outlandish recruitment fees with promises of a flourishing sports career and better educational opportunities. Recruitment in strip clubs can begin with a legitimate job offer or fake romantic pursuits.","Young women (both U.S. and foreign nationals) are often victimized in the modeling industry. Although more data is needed on typical visas used by traffickers, fraud involving H-1B and B-2 tourist visas have been documented. Labor trafficking in athletics often involves boys and young men from Latin America and West Africa, and U.S. citizen women are the majority trafficked for labor in strip clubs.","Victims in the modeling industry may be sexually abused and harassed, not paid, or charged exorbitant fees for crowded housing. When victims involved in athletics arrive in the U.S., they are enrolled in competitive school teams or traveling leagues and sometimes forced to practice and exercise from morning to night, causing exhaustion. Food and hygiene are limited, and victims never see any of the prize money from competitions. The most common types of control used to coerce victims in strip clubs are economic abuse (primarily wage confiscation and sometimes high fees) and emotional abuse and psychological manipulation, which can be particularly coercive when the trafficker is an intimate partner of the victim.","Young boys in athletics are recruited through an individual “coach” who convinces their families to pay outlandish recruitment fees. In the modeling industry, foreign and U.S. citizen women can be fraudulently recruited through social media and online classifieds with exaggerated job offers and fake immigration benefits.",154,102,52,25,25%,81,79%,0,0%,84,82%,21,21%,38,37%,39,38%
Commercial Cleaning Services,"The National Hotline has encountered trafficking and labor exploitation within commercial cleaning businesses that provide janitorial and housekeeping services to multiple private households, office buildings, and other commercial businesses.","Trafficker networks are largely unknown, but some data has shown traffickers can be either business owners or family members of survivors.","Fraudulent job offers or other false promises are the most common methods of recruitment, according to limited hotline data. Family pressure and manipulation can also be present.","Though limited data is available, there is sufficient evidence that foreign national men, women, and unaccompanied children from Latin America are most susceptible to labor trafficking within these businesses. Others are from the Philippines and the Caribbean or are U.S. citizens.","Common methods of exploitation include withholding or confiscating wages, verbal abuse, exhausting hours, and exposure to hazardous cleaning chemicals without proper protective equipment. The situation may become trafficking when victims are told they must work off a debt, their passports are withheld, or they’re coerced with threats of homelessness or deportation if they refuse to continue working.","Foreign national men, women, and unaccompanied children from Latin America are most susceptible to labor trafficking within these businesses.",437,93,344,Insufficient # of Cases,Insufficient # of Cases,Insufficient # of Cases,Insufficient # of Cases,Insufficient # of Cases,Insufficient # of Cases,Insufficient # of Cases,Insufficient # of Cases,Insufficient # of Cases,Insufficient # of Cases,Insufficient # of Cases,Insufficient # of Cases,Insufficient # of Cases,Insufficient # of Cases
Factories & Manufacturing,"Workers in food processing, clothing, and shoe manufacturing factories are especially vulnerable to labor abuse and trafficking. Polaris-operated hotlines have also documented labor trafficking and exploitation cases in a wide range of other manufacturing facilities, including factories producing electronic devices and vehicles.","More information on trafficker demographics is needed, but as with most labor trafficking types, direct supervisors and middle managers tend to facilitate abuse. The National Hotline has also documented family connections between traffickers and survivors.","While data is limited, preliminary hotline data suggests that fraudulent job offers are common. Some victims have reported being recruited by family members.","H-2B visa holders are often victims, but minors also have been referenced in National Hotline cases. Nationalities are much more diverse than in most other labor trafficking types, but the highest concentrations are from Southeast Asia, Latin America, and India.","Victims tend to be subjected to long hours, extreme surveillance, confiscation of documents, and threats of harm. Victims have reported being denied bathroom breaks to increase assembly line productivity and being locked inside the factory. In addition to being a form of coercion used to control victims, this confinement is a significant safety concern. According to hotline data, workers also frequently experience verbal abuse and degradation as a means of control, as well as economic abuse such as the withholding of wages or creation of debts to keep workers in abusive situations. Victims may also experience threats to blacklist them from future employment opportunities or to report them to immigration authorities.","Victims tend to be subjected to long hours, extreme surveillance, confiscation of documents, and threats of harm. Victims may also experience threats to blacklist them from future employment opportunities or to report them to immigration authorities.",278,78,200,Insufficient # of Cases,Insufficient # of Cases,Insufficient # of Cases,Insufficient # of Cases,Insufficient # of Cases,Insufficient # of Cases,Insufficient # of Cases,Insufficient # of Cases,Insufficient # of Cases,Insufficient # of Cases,Insufficient # of Cases,Insufficient # of Cases,Insufficient # of Cases,Insufficient # of Cases
Remote Interactive Sexual Acts,"Remote interactive sexual acts are live commercial sex acts simulated through remote contact between the buyer and victim through technologies such as webcams, text-based chats, and phone sex lines. Because of the lack of physical contact between the victim and buyer, traffickers can frame this business during victim recruitment as a “low-risk” endeavor. However, as with all commercial sex, this business model becomes sex trafficking if the victims are compelled to participate under force, fraud, or coercion, or if the victim is under the age of 18.","Little is known about trafficker profiles and network structure for this type of sex trafficking, although limited hotline data suggests that a trafficker’s relationship to the victim can range from a significant other to someone a victim considers nothing more than an exploiter.","Recruitment tends to involve posing as a benefactor, promising lucrative earnings, professional modeling opportunities, or false romantic interests. Hotline data also include cases where webcam websites and phone lines are used as recruitment grounds for sex traffickers.","In the limited number of cases reported to Polarisoperated hotlines, U.S. citizen females are the most frequent victims; minors are victimized in just under half of all cases. The same data has also revealed a surprising 12 percent of cases involve the LGBTQ community, most commonly in regard to the identity of the victim(s). Causes for such a high incidence of LGBTQ victims merit more research because that rate is much higher than the common 2 to 5 percent of LGBTQ cases in other types of human trafficking.","In some cases victims have reported manipulation, threats of violence, isolation, and/or debt to traffickers or recruiters, though due to limited data, little is known about exact details.",U.S. citizen females are the most frequent victims; minors are victimized in just under half of all cases.,78,Null,Null,Insufficient # of Cases,Insufficient # of Cases,Insufficient # of Cases,Insufficient # of Cases,Insufficient # of Cases,Insufficient # of Cases,Insufficient # of Cases,Insufficient # of Cases,Insufficient # of Cases,Insufficient # of Cases,Insufficient # of Cases,Insufficient # of Cases,Insufficient # of Cases,Insufficient # of Cases
Carnivals,"Labor exploitation and human trafficking cases involving carnival workers have been reported to the National Hotline. Workers are responsible for operating rides, games, and food stands, as well as for assembling and disassembling carnival equipment for movement between cities. Carnival companies may contract with state and county fairs to provide rides and games, and a small number of companies and recruiters dominate the U.S. carnival industry.",Formal labor recruiters and carnival owners and supervisors tend to be responsible for abuse and exploitation. Data indicates that these are typically U.S. citizen men.,"Formal H-2B labor agents dominate the recruitment, falsely promising safe and fair working conditions throughout the season. Instead, some victims have attested that they were made to pay illegal recruitment fees for the job, visa, and/or transportation and had to sleep in crowded, dilapidated trailers.","Most cases involve men and women from Mexico or South Africa on H-2B visas. While some U.S. citizens have been documented to work at carnivals, the extent of their potential exploitation is relatively unknown.","Victims have been known to stay awake around the clock to set up, operate, and dismantle equipment before traveling to the next city to repeat the exhausting process. This lack of sleep can cause serious workplace accidents due to extreme fatigue, for which victims are typically denied medical services. Isolation from any supportive services is also common due to the travel and lack of adequate legal protections for H-2B workers. Workers have also reported threats of blacklisting or deportation and document confiscation to keep them from leaving or reporting abuse. Workers may also experience wage theft, exorbitant fees for housing, and fraudulent payment deductions. Sometimes workers are told that their wages are being held for them until the end of their contracts, so if they try to leave abusive situations before then, they will have no money.","Sometimes workers are told that their wages are being held for them until the end of their contracts, so if they try to leave abusive situations before then, they will have no money.",131,52,79,Insufficient # of Cases,Insufficient # of Cases,Insufficient # of Cases,Insufficient # of Cases,Insufficient # of Cases,Insufficient # of Cases,Insufficient # of Cases,Insufficient # of Cases,Insufficient # of Cases,Insufficient # of Cases,Insufficient # of Cases,Insufficient # of Cases,Insufficient # of Cases,Insufficient # of Cases
Forestry & Logging,"According to data from Polaris-operated hotlines, trafficking in the forestry industry has included pine tree farm workers, reforestation planters, loggers, and workers maintaining woodland areas.","Traffickers are typically management or crew leaders within the forestry business, although as in other complicated labor supply chains, victims sometimes have a difficult time understanding who is responsible for their exploitation.","Unfair recruitment practices are not uncommon and, as in other H-2B recruitment schemes, can include the victim being charged exorbitant and illegal fees.","Survivors in forestry are almost exclusively men from Mexico and Guatemala on H-2B visas, according to cases reported to the National Hotline.","Case data shows that victims are not paid by the hour as required by law, but are paid per acre or tree they plant, drastically decreasing earning potential. Traffickers may withhold or confiscate payment to keep workers from leaving. In some hotline cases, workers experienced debt bondage as another form of economic control. Document confiscation by traffickers is also frequently reported, along with threats to blacklist workers from future jobs or threats to have workers deported. Even though H2-B workers in forestry are entitled to government-funded legal services, victims are often kept in isolation and are unaware what city or state they are in, making it difficult or impossible to access help or report abuse. All the while, victims may suffer extreme physical violence, health complications from sleeping outdoors and hazardous work conditions, denial of medical care, and death threats to them or their families back home.","Victims may suffer extreme physical violence, health complications from sleeping outdoors and hazardous work conditions, denial of medical care, and death threats to them or their families back home.",213,50,163,Insufficient # of Cases,Insufficient # of Cases,Insufficient # of Cases,Insufficient # of Cases,Insufficient # of Cases,Insufficient # of Cases,Insufficient # of Cases,Insufficient # of Cases,Insufficient # of Cases,Insufficient # of Cases,Insufficient # of Cases,Insufficient # of Cases,Insufficient # of Cases,Insufficient # of Cases
Health Care,"Labor trafficking victims in the healthcare industry are primarily found in nursing homes and as home health aides, according to hotline data. The lines between domestic work and in-home health care can be difficult to ascertain, since some domestic caregivers are expected to provide medical services without proper certification. Because of the intersections with home healthcare and domestic work, it is important to consider both industries when crafting intervention and disruption efforts.","With this type it can be difficult for even survivors to decipher who their primary trafficker is due to the complicated relationships among recruiters, staffing agencies, and employers. In some cases, the trafficker may obfuscate these relationships to avoid detection. The trafficker may even be part of the victim’s family.","The most frequent recruitment tactics are not known due to limited data, though preliminary hotline data suggests that misrepresented job offers and other false promises are used, and that in some cases the trafficker may use a family relationship with the victim as a recruitment strategy.","Migrant women from the Philippines are most prevalent in hotline data, followed by West African immigrant women and U.S. citizens. Victims may possess H-1B, H-2B, J-1, or H-1C (registered nurse) visas. Male survivors are involved in 23 percent of labor trafficking within the healthcare industry, according to Polaris-operated hotline cases.","As in domestic work, the overlapping methods of control include extreme isolation, monitoring, verbal degradation, threats of deportation or blacklisting, and document confiscation. High levels of fraud and misrepresentation of job conditions were also reported among victims on the hotlines. Economic abuse is the most frequent method of coercion and includes nonpayment or underpayment of wages, debt bondage, and limiting access to a victim’s own funds or bank accounts.","Migrant women from the Philippines are most prevalent in hotline data, followed by West African immigrant women and U.S. citizens.",105,46,59,Insufficient # of Cases,Insufficient # of Cases,Insufficient # of Cases,Insufficient # of Cases,Insufficient # of Cases,Insufficient # of Cases,Insufficient # of Cases,Insufficient # of Cases,Insufficient # of Cases,Insufficient # of Cases,Insufficient # of Cases,Insufficient # of Cases,Insufficient # of Cases,Insufficient # of Cases
Recreational Facilities,"Labor trafficking for work in recreational facilities has been reported to the National Hotline in amusement parks, summer camps, golf courses, and community swimming pools, though it may also occur in other sectors of this industry. Positions at these facilities include lifeguards, camp counselors, ride attendants, and food vendors.","Limited data provides evidence that traffickers are typically part of the facility’s management. However, some cases have involved complicit visa sponsors and recruiters.","Victims are usually misled with false employment contracts promising free transportation to and from work, fairly priced housing, and a living wage.","While victims of labor exploitation tend to be young adults on J-1 visas as part of the work and travel program, nationalities run the gamut from countries across Eastern Europe, Latin America, the Caribbean, East and Southeast Asia, the Middle East, and even the U.S. (about one-third of trafficking cases), according to hotline data.","Economic abuse, such as withholding wages, was the most common method used to control workers, along with intense monitoring and threats to deport or blacklist workers. Verbal abuse and document confiscation are also not uncommon methods used to keep workers in abusive situations. Although the J-1 is one of the only work visas that allows portability, the process for switching employers can be cumbersome and confusing for victims seeking to leave abusive employers.","Victims are usually misled with false employment contracts promising free transportation to and from work, fairly priced housing, and a living wage.",257,37,220,Insufficient # of Cases,Insufficient # of Cases,Insufficient # of Cases,Insufficient # of Cases,Insufficient # of Cases,Insufficient # of Cases,Insufficient # of Cases,Insufficient # of Cases,Insufficient # of Cases,Insufficient # of Cases,Insufficient # of Cases,Insufficient # of Cases,Insufficient # of Cases,Insufficient # of Cases
Types Yet To Be Defined,"Through data collected from Polaris-operated hotlines we have also documented 10 other types of human trafficking. These may become distinct types in the future as we accrue more data. Trafficking is occurring in legal brothels and in non-spa or bar-like commercial businesses. Labor trafficking is also known to have occurred in retail, mining, education, professional, and scientific specialty occupations, and the fishing industry. Cases involving various types of forced labor and sexual exploitation have also been documented among fraudulent religious organizations, which have been reported to employ manipulation and coercion. Additionally, certain instances of sanctioned prison labor may meet the definition of forced labor and human trafficking, depending on the circumstances. While hotline data on these industries is lacking, it is possible that such data could emerge in the future with increased awareness and outreach. Polaris’s research team welcomes insight from the community on additional types of trafficking that should be highlighted or explored.",Null,Null,Null,Null,,1671,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
